Lúpulo,Aroma/Sabor,Alpha,Tipo,Sustitutos
Admiral,naranja • té • fresco • sap,13%-16.2%,Amargo,Chinook | Northdown | Challenger | Centennial | Cascade (US) | Amarillo | Target
African Queen,fruto oscuro • lemongrass,10%–17.0%,Propósito doble,Amarillo | Cascade | Mosaic | Simco | Citra
Ahtanum,pomelo • floral • cedro,4%-6.3%,Aroma,Cascade Amarillo
Amarillo,pomelo • naranja • limón • melón • albaricoque • melocotón,8%-11%,Aroma,Cascade (US) | Centennial | Ahtanum™ | Chinook | Summer
Amethyst,terroso • cítrico • picante,2%-6%,Aroma,Saaz | Loral
Apollo,limpio • pomelo,15%-20%,Amargo,Nugget | Columbus | Zeus
Apolon,leve,10%-12%,Propósito doble,Syrian Goldings | Brewers gold | Syrian Aurora
Aquila,aroma,6.7%-8.9%,Aroma,Cluster | Galena
Aramis,"verde • hierbas • picantes
• cítricos",7.9%-8.3%,Aroma,Willamette | Challenger | Ahtanum
Archer,albaricoque • melocotón • floral • lima,4%%-6%,Aroma,Willamette | Challenger | Strisselspalt
Ariana,baya • cítricos • madera,9%-13%,Propósito doble,Mandarina Bavaria | Hallertau Blanc
Atlas (Styrian Atlas),lima • flor • pino,9%-11%,Aroma,"Brewers gold | Syrian Aurora
| Apolon"
Azacca,mango • papaya • naranja • pomelo • limón • pino • picante • piña • hierba • frutas tropicales • cítricos,14%-16%,Propósito doble,Citra | Galaxy | Mosaic
Banner,amargo • aroma,8.4%-13%,Amargo,Aquila | Cluster | Galena
Belma,naranja • tropical,"9.4%-
12.1%",Propósito doble,Summer | Huell Melon
Bitter Gold,pera • sandía • frutas de hueso • hierba fresca cortada,"15.4%-
18.8%",Amargo,Galena | Nugget
Boadicea,floral • flor de huerta • fruto maduro,7%-10%,Aroma,Green Bullet | Cascade | Columbus | Chinook
Bouclier,hierbas • hierba • picante,5.2%-9%,Propósito doble,Chinook
Bramling Cross,grosella negra •  vainilla,5%-7.8%,Propósito doble,Whitbread Golding
Bravo,naranja • vainilla,14%-17%,Amargo,Columbus | Zeus
Brewer’s Gold,grosella negra • picante,"8.1%-
13.1%",Amargo,Cascade | Bullion
"Brewer’s Gold, UK",picante • grosella negra,"7.1%-
11.3%",Amargo,Bullion | Cascade | Galena | Northern Brewer (US) | Northdown
"Bullion, UK",zesty • picante • fruta roja oscura,5.3%-9.5%,Amargo,Columbus | Northern Brewer | Galena | Chinook | Brewer’s Gold
"Bullion, USA",grosella negra • zesty,"6.7%-
12.9%",Amargo,Columbus | Northern Brewer | Galena | Chinook | Brewer’s Gold
Calicross,floral • afrutado • terroso,5.8%-7.9%,Propósito doble,Cluster
Calypso,frutas • manzana • pera • cítricos,12%-14%,Propósito doble,Galena | Cascade | Huell Melon
Canadian Redvine,cereza • cáscara de pomelo,5%-6%,Aroma,Newport | Magnum | Galena
"Cascade, Cryo",pomelo • floral • pino,11%-13%,Propósito doble,Centennial | Amarillo | Columbus | Ahtanum
"Cascade, Hop Extract",pomelo • floral • pino,38.80%,Propósito doble,Centennial | Amarillo | Columbus | Ahtanum
"Cascade, USA",pomelo • floral • pino,4.5%-8.9%,Propósito doble,Centennial | Amarillo | Columbus | Ahtanum
Cashmere,melón • limón • lima • picante,7.7%-9.1%,Propósito doble,Cascade
Cekin,leve,6%-8%,Aroma,Styrian Goldings | Brewers gold | Styrian Aurora
Centennial,limón • floral • flor de naranja • tierra,"9.5%-
11.5%",Propósito doble,Chinook | Galena | Nugget | Zeus | Columbus
"Centennial, Hop Extract",limón • floral • flor naranja,48.80%,Propósito doble,Chinook | Galena | Nugget | Zeus | Columbus
"Centennial, Hop Hash",limón • floral • flor naranja,32%,Propósito doble,Chinook | Galena | Nugget | Zeus | Columbus
Challenger,cedro • té verde • fruto dulce,6.5%-9%,Propósito doble,"Perle, USA"
Chelan,leve,12%-14.5%,Amargo,Galena | Nugget
Chinook,pomelo • picante • pino,12%-14%,Propósito doble,Galena | Eroica | Nugget | Bullion
"Chinook, Hop Extract",pomelo • picante • pino,58.80%,Propósito doble,Galena | Eroica | Nugget | Bullion
"Chinook, NZ",pomelo • picante • pino,12%-14%,Propósito doble,Galena | Eroica | Nugget | Bullion
Citra,pomelo • melón • lima • esposa • fruta de pasión,10%-15%,Propósito doble,Simcoe | Cascade | Centennial
"Citra, Cryo",pomelo • melón • lima • esposa • fruta de pasión,24%-26%,Propósito doble,Simcoe | Cascade | Centennial
Cluster,floral • terroso • dulce fruto,5.5%-9%,Propósito doble,Eroica | Galena
Columbia,terroso • frutal,"6.8%-
11.5%",Propósito doble,Fuggle | Williamette
Columbus,pimienta negra • dank • cítros • terrosa • picante,14%-16%,Propósito doble,Zeus | Galena | Chinook | Nugget | Centennial | Millenium
"Columbus (Tomahawk, CTC), Hop
Hash",pimienta negra • dank • cítros • terrosa • picante,14%-18%,Propósito doble,Zeus | Chinook | Northern Brewer | Nugget | Target | Warrior | Millenium | Bullion
Comet,“americano salvaje” • hierba • pomelo,"9.4%-
12.4%",Propósito doble,Galena
Crystal,madera • verde,2.8%-4.4%,Aroma,"Liberty | Mount Hood | Hallertau, GER | Ultra"
Dana,florales • cítricos,11%-16%,Propósito doble,Bobek | Celeia
Defender,aroma,3.3%-6%,Aroma,Density
Delta,picante • melón • cítrico,5.5%-7%,Aroma,Cascade | Nelson Sauvin | Fuggle | Willamette
Denali (Exp 06277),piña • pino • cítricos,13%–15%,Propósito doble,Nugget | Zueus
Dr. Rudi,resina • pino • lemongrass,10%-12%,Propósito doble,Green Bullet
East Kent Goldings,lavanda • miel • limón • tomillo • naranja • pomelo,5%-6%,Aroma,"Golding, UK | Whitbread Golding | Progress"
Ekuanot (Equinox),melón • baya • lima • manzana • papaya • pimienta verde • mango • naranja mandarina,"14.5%-
15.5%",Aroma,Huell Melon | El Dorado
El Dorado,"cerezo • albaricoque • pera
• cítricos • sandía • hierba • madera • menta",13%-17%,Propósito doble,Galena | Ekuanot
"El Dorado, Hop Extract","cerezo • albaricoque • pera
• cítricos • sandía • hierba • madera • menta",49.80%,Propósito doble,Galena | Ekuanot
"El Dorado, Hop Hash","cerezo • albaricoque • pera
• cítricos • sandía • hierba • madera • menta",25.70%,Propósito doble,Galena | Ekuanot
Ella,floral • noble • picante • anís estrellado • pomelo,"13.4%-
19.2%",Aroma,Cascade | Citra
Endeavour,"grosella negra • loganberry
• picante • pomelo • lima",8%-10.5%,Propósito doble,Brambling Cross | Pilgram
Enigma,pinot gris • frambuesa • redcurrant • fruta tropical,"16.7%-
19.4%",Aroma,Nelson Sauvin | Huell Melon
Epic,frutal • baya,3%-5%,Propósito doble,Fuggle | Mandarina Bavaria
Eroica,fruta,"7.1%-
14.9%",Propósito doble,Bullion | Brewer’s Gold | Galena
Eukanot®,melón • baya • lima • manzana • papaya • especia,"14.5%-
15.5%",Aroma,Huell Melon | El Dorado
"Eukanot®, Cryo",melón • baya • lima • manzana • papaya • pimienta verde • mango • naranja mandarina,25.50%,Aroma,Huell Melon | El Dorado
Eureka,cítricos • melocotón • pino,18%-19%,Propósito doble,Columbus | Apollo
Falconer’s Flight,limón • pomelo,11%-12%,Propósito doble,Falconers Flight 7C’s | Cascade | Columbus | Centennial
Falconer’s Flight 7C’s Blend,frutas • cítricos • picantes • tierra,9%-10%,Propósito doble,Falconers Flight | Cascade | Columbus | Centennial
First Gold,geranio • magnolia • albaricoque • mandarina • mermelada de naranja,5.6%-9.3%,Propósito doble,Willamette | East Kent Golding |Styrian Golding
Flyer,picante • cítrico • regaliz,"8.3%-
14.5%",Propósito doble,Willamette | Goldings
"Fuggle, Organic",té verde • menta • hierba • floral,3%-5.6%,Aroma,"Fuggle, USA | Willamette | Styrian | Golding"
"Fuggle, USA",suave • madera • hierba • menta,4%-5.5%,Aroma,"Fuggle, UK | Willamette | Styrian | Golding | Tettnanger (GR)"
Fuggle,té verde • menta • hierba • floral,3%-5.6%,Aroma,"Fuggle, USA | Willamette | Styrian Golding | Tettnanger
| Newport | Wakatu"
Galaxy,pasión • melocotón • cítricos limpios,11%-16%,Propósito doble,Citra | Amarillo | Centennial
Galena,pera • piña • lima • grosella negra • pomelo,12%-14%,Aroma,Nugget | Columbus | Zeus
Gargoyle,citrus • mango,7.50%,Aroma,Cluster | Ivanhoe
German Spalt Select,noble • picante • floral • baya • cítrico,2.5%-5.5%,Aroma,Saaz
German Tradition,terrestre • néctar • hierba,5%-7%,Aroma,Hallertau Mittelfruh | Liberty | Hersbrucker
Glacier,ciruela • zarzamora • madera,3.3%-9.7%,Propósito doble,"Willamette | Fuggle, USA | Tettnanger (GR)"
"Goldings, NZ",terrestre • floral,4%-4.2%,Propósito doble,East Kent Goldings
"Goldings, UK",picante • miel • terroso,4%-7%,Aroma,Fuggle | East Kent Golding | Styrian Golding
"Goldings, USA",delicado • dulce floral,4%-6%,Aroma,Fuggle | East Kent Golding | Styrian Golding
"Goldings, B.C.",tierra • picante,4%-7%,Aroma,"East Kent Golding | Golding, USA | Fuggle | Willamette"
Green Bullet,picante • frutos secos • floral,11%-15%,Propósito doble,Dr Rudi | Liberty | Hallertauer
Hallertau. GER,flores • picantes,3.5%-3.5%,Aroma,"Hallertauer Tradition | Hallertauer Mittelfrüh | Hallertau, NZ | Crystal | Liberty | Mount Hood"
"Hallertau, NZ",floral • lima • cítrico,7%-9%,Aroma,"Hallertauer Tradition | Hallertauer Mittelfrüh | Hallertau, GER| Crystal | Liberty | Mount Hood"
"Hallertau, USA",noble • picante • floral,3.5%-5.5%,Aroma,Mount Hood | Liberty | Crystal | Hallertauer Mittelfrüh | Hallertauer Tradition
Hallertau Blanc,pasión • pomelo • piña • uva • lemongrass,9%-12%,Aroma,Nelson Sauvin
Hallertau Gold,noble • picante,7%-10%,Aroma,Hallertauer Mittelfrüh | Tettnanger | East Kent Golding
Hallertau Magnum,limpio • cítricos,11%-16%,Amargo,"Hallertauer Taurus | Columbus
| Nugget"
Hallertau Taurus,grosella negra • pimienta • picante,"12.3%-
17.9%",Propósito doble,"Citra | Magnum, USA | Tradition"
Hallertau Tradition,hierba • té • naranja • lavanda,4.6%-7%,Aroma,Hallertau Mittelfrüh | Liberty
Hallertauer Mittelfrüh,hierba • té • cítricos,3.0%-5.5%,Aroma,"Liberty | Hallertau, USA"
Helga (Southern Hallertau),agradable • noble,5.4%-7.3%,Aroma,Mount Hood | Hallertauer Mittelfrüh
Herald,naranja • pomelo,"11.9%-
12.8%",Propósito doble,Pioneer
Herkules,robusto • melón,12%-17%,Propósito doble,Chinook
Hersbrucker,frutas • tabaco • naranja,2%-5%,Aroma,Hallertauer Tradition | Spalter Select | Mount Hood | Strisselspalter | Hallertau | Liberty
Horizon,ramo de flores • picante • cítrico,"8.8%-
16.5%",Propósito doble,Hallertauer Magnum
Huell Melon,melón • fresa • fruta tropical • naranja • vainilla,6.9%-7.5%,Aroma,Ekuanot | Cascade
Idaho #7,piña • melocotón • pino • resina • mango • té negro,13%-15%,Aroma,Mosaic | Citra
"Idaho #7, Hop Hash",piña • melocotón • pino • resina • mango • té negro,31.40%,Aroma,Mosaic | Citra
Ivanhoe,cítricos • pino,7.3%-8%,Aroma,Galena | Cluster | Northern Brewer
Jarrylo,plátano • hierba • pera • naranja • picante • fruta,15%-17%,Propósito doble,Taurus | Calypso | Huell Melon
Jester,tropical • pomelo • liche,7%-9%,Aroma,Cascade | Challenger
Junga,grosella negra • pomelo • picante,"10.0%-
13.0%",Propósito doble,Nugget | Target
Kazbek,picante • limón,5%-8%,Aroma,Saaz | Premiant
Kirin II,aroma,8%,Propósito doble,Saaz | Loral
Kohatu,fruta tropical,6.8%,Aroma,Citra | Motueka
Legacy,"zarzamora • grosella negra
• naranja",7.8%-8.4%,Propósito doble,Cluster | Galena | Northern Brewer
Lemondrop,limón • cítricos,5%-7%,Propósito doble,Cascade | Centennial | Mandarina Bavaria
Liberty,noble • floral • herbal • picante • delicado • limón,3%-6%,Aroma,Hallertau | Mount Hood | Tradition | Strisselspalter
Loral,florales • pimienta • limón,10%-12%,Aroma,Strisselspalt | Tardif De
,• cítricos • frutas oscuras,,,Bourgogne | Tettnag | Nuget
"Loral, Cryo","florales • pimienta • limón
• cítricos • frutas oscuras",20%-24%,Aroma,Strisselspalt | Tardif De Bourgogne | Tettnag | Nuget
Lublin (Lubelski),noble,3%-5%,Aroma,Saaz | Sterling
"Magnum, GER",manzana • pimienta • cítrico sutil • limpio amargo,12%-14%,Amargo,"Hallertauer Taurus | Columbus
| Nugget"
"Magnum, USA",cítricos ligeros • amargos limpios,10%-14%,Amargo,Magnum (GER) | Horizon |
Mandarina Bavaria,mandarina • pomelo • lima,"8.5%-
10.5%",Aroma,Columbus | Nugget
Marynka,terreno • herbario,9%-12%,Propósito doble,Tettnanger
Mathon White,picante • miel • terroso,4.4%-6.7%,Aroma,"Bramling | East Kent Golding
| Progress | Whitbread Golding"
Medusa,"cítricos • guayaba • melón
• albaricoque",3.5%-5%,Aroma,Zappa
Melba,"limpio • picante • pasional
• pomelo • cítrico",7%-10%,Propósito doble,Galaxy
Meridian,tropical • baya • cítrico,5.%-6.5%,Aroma,Citra | Glacier | Centennial
Merkur,azúcar • piña • menta,12%-16.2%,Propósito doble,Magnum (GR)
Millennium,"resina • hierbas • florales
• pera","14.5%-
16.5%",Amargo,Columbus | Nugget | Summit
Mosaic,arándano • mandarina • papaya • rosa • flor • goma de burbuja,"11.5%-
13.5%",Propósito doble,Simcoe | Citra | Nugget
"Mosaic, Cryo",arándano • mandarina • papaya • rosa • flor • goma de burbuja,20%-24%,Propósito doble,Simcoe | Citra | Nugget
Motueka,lima • limón • fruta tropical,6.5%-8.5%,Propósito doble,Saaz | Sterling | liberty
Moutere (Brooklyn),cítricos • frutas • pino,15.5%-18%,Propósito doble,Citra | Simcoe
Mt. Hood,pungente • noble,4%-8%,Aroma,Crystal | Strisselspalter | Hersbrucker
Mt. Rainier,noble • regaliz • floral,5%-8.1%,Propósito doble,Hallertauer | Fuggle
MultiHead,florales • frutas dulces • cítricos,3.5%-5.5%,Propósito doble,Medusa
Nelson Sauvin,vino blanco • grosella espinosa • uva • sauvignon blanc,12%-13%,Propósito doble,Pacific Jade | Pacifica
Neo1,limón • cítricos,7%-9%,Propósito doble,lemon drop
Newport,vino • balsamico,13.5%-17%,Amargo,Galena
Northdown,floral • pino • cedro • baya,7%-10%,Propósito doble,Challenger
"Northern Brewer, GER",menta • pino • hierba,7%-10%,Amargo,"Perle | Northern Brewer, UK | Northern Brewer, USA | Chinook | Galena | Magnum"
"Northern Brewer, UK",evergreen • madera • menta,9.5%,Propósito doble,"Northern Brewer, USA | Northern Brewer, GER"
"Northern Brewer, USA",menta • pino • hierba,8%-10%,Propósito doble,"Northern Brewer, GER | Northern Brewer, UK | Chinook"
Nugget,verde • madera • jengibre,9.5%-14%,Propósito doble,Galena | Columbus | Magnum
Olympic,cítricos • picantes,"10.6%-
13.8%",Propósito doble,Galena | Nugget
Opal,dulce picante • pimienta • cítrico limpio • anís,13%-14%,Propósito doble,"East Kent Golding | Tettnang
| Syrian Goldings"
Orion,picante,8%-9%,Propósito doble,Perle
Outeniqua,leve,12%-13.5%,Amargo,Southern Star
Pacific Crest,floral • tierra • hierba • picante • herbal,3.9%,Aroma,Saaz | Fuggle | Tettnang
Pacific Gem,blackberry • roble,13%-16%,Propósito doble,Galena | Pacific Jade
Pacific Jade,cítricos frescos • pimienta negra,12%-14%,Aroma,Galena | Pacific gem
Pacific Sunrise,pino,"12.5%-
14.5%",Amargo,Pacific Gem
Pacifica,"zest de naranja • mermelada
• floral",5%-6%,Aroma,Hallertau Mittelfrüh | Perle
Pahto,herbal • terrestre • floral,17%-20%,Amargo,East Kent Goldings
Palisade®,albaricoque • hierba • limpio • floral,5.5%-9.5%,Aroma,Willamette
"Palisade, Cryo",albaricoque • hierba • limpio • floral,13%-15%,Aroma,Willamette
Pekko,limpio • floral • melón • piña • pera • tipo saaz • pepino • menta • hierbas • sabio • limón,13%-16%,Propósito doble,Heull Melon | El Dorado | Saaz
Perle,menta • té • pimienta,8%-9%,Propósito doble,"Northern Brewer, USA | Northern Brewer, GER | Magnum"
"Perle, USA",picante • floral,6%-10%,Propósito doble,"Northern Brewer, USA | Northern Brewer, UK | Northern Brewer, GER | Magnum"
Phoenix,picante • floral • chocolate,"8.5%-
13.5%",Propósito doble,Northdown | Challenger
Pilgrim,limón • pomelo • pera • baya,9%-13%,Propósito doble,Target | Challenger
Pilot,mermelada • limón • picante,8%-11.5%,Amargo,Galena
Pioneer,limón • pomelo • cedro • hierbas,8%-10%,Propósito doble,East Kent Golding
Polaris,menta • piña • mentol,18%-23%,Propósito doble,"Northern Brewer, GER"
Precoce de Bourgogne,leve,3.4%,Aroma,Tardif de Bourgogne
Premiant,agradable • especia suave,8%-12.5%,Aroma,Saaz | Kazbek
Pride of Ringwood,picante • frutal,7%-11%,Amargo,Galena | Cluster | Centennial
Progress,hierba • dulce • menta • miel • grosella negra,6%-7.5%,Aroma,"Fuggle, UK | East Kent Goldings"
Rakau,frutos de hugo • higo • albaricoque • resina • pino,"5.8%-
10.9%",Propósito doble,Summit | Amarillo
Relax,hibiscus • miel • melón,0.25%,Aroma,Heull Melon
Riwaka,pomelo • cítricos,4.5%-6.5%,Aroma,Saaz
Rubin,tierra • picante,10%-14%,Propósito doble,Saaz | Strisselspalt
"Saaz, Czech","agradable • suave • herbal
• noble",2.5%-4.5%,Aroma,"Premiant | Kazbek | Sterling
| Lubin | Saaz, USA"
"Saaz, U.S.A",terroso • picante • herbario,3%-4.5%,Aroma,Saaz
Santiam,pimienta negra • picante • floral • herbal,5%-8%,Aroma,Spalt | Tettnang
Saphir,picante • floral • dulce cítrico,2%-4.5%,Aroma,Hallertau Mittelfrüh
Savinjski Golding,noble,2.8%-6%,Aroma,Saaz | Tettnang
Simcoe®,pasión • baya • pino • tierra • cítricos • goma de burbuja,"12.0%-
14.0%",Propósito doble,Summit | Citra | Mosaic
"Simcoe, Cryo",pasión • baya • pino •,20%-24%,Aroma,Summit | Citra | Mosaic
,tierra • cítricos • goma de burbuja,,,
Sladek,melocotón • pomelo • pasión,4.5%-8%,Aroma,Saaz
Smaragd,anis • tabaco • clavo • terrestre,4%-6%,Propósito doble,Hallertau Gold
Sonnet Golding,tierra • hierba • roble • miel,2.6%-6%,Aroma,Saaz | East Kent Golding | Crystal | Strisselspalt | Hersbrucker
Sorachi Ace,limón • naranja • eneldo,11.5%-16%,Propósito doble,Liberty | Lemondrop
Southern Brewer,amargo • aroma,5.6%-12%,Amargo,Southern Promise
Southern Cross,piel de limón • lima • frutas tropicales • pino,13%-14%,Propósito doble,Simcoe
Southern Dawn,picante • lemongrass • té de manzanilla,10%-12%,Propósito doble,Southern Brewer | Southern Promis
Southern Promise,tierra • madera • suave,"9.5%-
11.5%",Propósito doble,Southern Brewer | Southern Promis
Southern Star,tierra • picante,12%-14%,Amargo,Outeniqua
Sovereign,floral • hierba • hierbas • menta • pera,4.5%-6.5%,Amargo,Fuggle
Spalt,noble • terreno • picante,2.5%-5.7%,Aroma,Saaz | Tettnang| Santiam | Liberty | Hallertau
Spalt Spalter,noble • terreno • picante,2.5%-5.7%,Aroma,Saaz | Tettnanger | Santiam | Liberty | Hallertau
Spalter Select,noble • aroma,3%-6.5%,Aroma,Saaz | Tettnanger | Spalt | Hersbrucker | Perle | Hallertau Tradition
"Sterling, USA",noble • herbal • picante • floral,4.5%-9%,Propósito doble,Saaz | Mt Hood
Sticklebract,pino • cítricos,13%-14.2%,Propósito doble,"Northern Brewer, GER"
Strisselspalt,"hierbas • hierba • picante
• pomelo • floral",1.8%-5.7%,Aroma,Mount Hood | Crystal | Hersbrucker
Styrian Aurora,picante,"7.2%-
12.6%",Propósito doble,Styrian Golding | Northern Brewer
Styrian Bobek,noble • pino,3.5-9.3%,Propósito doble,Fuggle | Willamette | Styrian Golding
Styrian Celeia,noble • floral,3%-6%,Propósito doble,Saaz | Bobek | Styrian Golding
"Styrian Goldings, NZ",leve,4.5%-7.5%,Aroma,"Fuggle, USA"
Summer,albaricoque • melón • melocotón • hierba,5.6%-6.4%,Aroma,Belma | Palisade
Summit™,"pimienta • incienso • anis
• naranja • pomelo rosa • mandarina",16%-18%,Amargo,Columbus | Simcoe | Millennium | Warrior
"Summit, Hop Extract","pimienta • incienso • anis
• naranja • pomelo rosa • mandarina",56.2%,Amargo,Columbus | Simcoe | Millennium | Warrior
Sun,herbáceo,12%-16%,Amargo,Magnum | Galena | Zeus
Super Galena,frutal • aroma,13%-16%,Amargo,Nugget | Columbus | Zeus | Chinook | Pride of Ringwood | Eroica | Newport | Cluster | Brewers Gold
Super Pride,resina • frutas,13.5%-15%,Amargo,Pride of Ringwood
Sussex,terroso • hierba • menta • cítricos • vainilla,4.3%-5.8%,Aroma,"Progress | Whitbread Golding
| Fuggle"
Sybilla,flores • noble • picante,6%-8%,Propósito doble,Bobek | Lubelski | Saaz | Fuggle
Sylva,floral • herbal • noble,5.6%-7.3%,Aroma,Hallertau Mittelfrüh | Helga
,,,,| Saaz
Tahoma,"limón • pomelo • cedro • pino • melón verde • floral
• pimienta",7.2%-8.2%,Aroma,Mandarina Bavaria | Lemondrop
Taiheke,pomelo • lima,6%-8%,Propósito doble,Hallertau | Goldings
Tardif de Bourgogne,leve,7.2%-8.2%,Aroma,Precoce de Bourgogne
Target,salvia • pimienta • mermelada de cítricos mandarina,8%-12.5%,Propósito doble,Willamette | Fuggle
Teamaker,té • aroma,0.6%-1.8%,Aroma,Crystal | Fuggle
Tettnang,picante • pimienta • té negro,3%-5.8%,Propósito doble,Spalt | Hersbrucker | Saaz
"Tettnang, USA",noble,4%-5%,Propósito doble,Fuggle | Santiam | Spalt
Tillicum,frutas de hueso • cítricos,"13.5%-
15.5.%",Amargo,Galena | Chelan
Tomahawk,pungent • pimienta negra • regaliz • curry,14%-18%,Propósito doble,Columbus | Zeus
Topaz,resina • hierba • liche,"13.7%-
17.7%",Propósito doble,Summit | Apollo
Triple Pearl,melón • naranja • resina • picante • pimienta,9%-11%,Propósito doble,Mandarina Bavaria | Huell Melon
Triskel,florales • hierbas • cítricos • picantes,8%-9%,Aroma,Strisselspalt | Ahtanum | Centennial | Chinook | Simcoe
Ultra,suave • ramo de flores,3%-5%,Aroma,"Tettnanger, GER | Saaz"
Vanguard,madera,4.40%-6%,Aroma,Liberty | Mount Hood
Vic Secret,pino • tierra • pasión • piña,14%-17%,Propósito doble,Galaxy
Viking,agradamente hoppy,8%-10%,Aroma,Saxon
Vital,picante,14%-17%,Propósito doble,Chinook
Vojvodina,noble,"6.1%-
10.5%",Propósito doble,Northern Brewer | Goldings
Wai-iti,melocotón • albaricoque • picante • lima • fruta tropical,2.5%-3.5%,Aroma,Kahatu
Waimea,cítricos • pino • herbario,16%-19%,Propósito doble,Pacific Jade | Pacific gem | Columbus
Wakatu,piel de lima • floral,6.5%-8.5%,Propósito doble,Hallertauer Mittelfrüh
Warrior®,"suave • resinoso • cítrico
• pino",14.5%-18%,Amargo,Nugget
Whitbread Golding (WGV),tierra fresca • floral • fruto dulce,5%-7.5%,Propósito doble,East Kent Goldings | Progress
Willamette,floral • incienso • sauco,4%-6%,Aroma,Fuggle | Styrian Golding | Tettnanger | Glacier | Styrian Golding
"Willamette, NZ",suave • picante,4%-6%,Aroma,"Fuggle | Styrian Golding | Tettnanger, USA | Glacier | Styrian Golding"
Wye Challenger,picante • cedro • té verde,5%-9%,Propósito doble,"Perle, USA | Northern Brewer
| Admiral"
Yakima Gold,pomelo • zest de limón,"8.8%-
10.5%",Propósito doble,Cluster | Chinook
Zeus,pungent • pimienta negra • regaliz • curry,13%-17.5%,Amargo,Columbus
Zlatan,suave • noble,5.2%,Aroma,Saaz | Hallertau
Zythos®,cítricos • frutas tropicales,10%-12.5%,Propósito doble,Citra | Simcoe | Amarillo
